Season,Technology,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
Autumn,EmergingPV,0.0,0.0,0.0,0.0,0.0,0.0004717973499723542,0.009257420585079472,0.03645351147460525,0.08608408112455904,0.13571218896821713,0.18079908788480692,0.2094095746244881,0.21527644905818052,0.19273317890634784,0.15315088397274645,0.10261337417685613,0.04810836961443473,0.015398986956102284,0.0014839522813274411,0.0,0.0,0.0,0.0,0.0
Spring,EmergingPV,0.0,0.0,0.0,4.0563599775458355e-05,0.003524216542811399,0.02373681799850051,0.0714862138801225,0.1331789517490478,0.20202208976994931,0.27411685217847676,0.31757690778155656,0.3661994827763229,0.37479919837465814,0.34188793291797076,0.3000622291140969,0.24044001367500978,0.16893272594157277,0.09955279589503929,0.03961658503767057,0.008395388774516135,0.00027564067660248276,0.0,0.0,0.0
Summer,EmergingPV,0.0,0.0,0.0,0.0007348957681963834,0.015258151218067643,0.051463186694871134,0.11936505473952114,0.18592965990598215,0.25970300593481194,0.3307258844660731,0.3569573332629158,0.42112433026742063,0.4403244787503373,0.38622818842826445,0.3392802607602192,0.2909463404546954,0.22738984446982727,0.15718758813881398,0.08352378418713051,0.03133413287611521,0.004274532836827066,0.0,0.0,0.0
Winter,EmergingPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001307780149401466,0.016660408438856453,0.05414159505888999,0.0939549690206762,0.11888370850572653,0.12390098429634244,0.10826344597706783,0.07702559389699318,0.035086933288256766,0.008329622920539615,0.0002459450128018319,0.0,0.0,,0.0,0.0,0.0
Autumn,EmergingPV Potential,0.0,0.0,0.0,0.0,0.0,0.0006290631332964723,0.01234322744677263,0.04860468196614033,0.11477877483274539,0.18094958529095614,0.24106545051307593,0.2792127661659841,0.28703526541090735,0.2569775718751305,0.2042011786303286,0.13681783223580818,0.06414449281924631,0.02053198260813638,0.0019786030417699215,0.0,0.0,0.0,0.0,0.0
Spring,EmergingPV Potential,0.0,0.0,0.0,5.408479970061113e-05,0.004698955390415199,0.03164909066466735,0.09531495184016334,0.17757193566539708,0.26936278635993244,0.3654891362379691,0.42343587704207536,0.48826597703509717,0.4997322644995443,0.45585057722396105,0.40008297215212923,0.3205866849000131,0.22524363458876373,0.1327370611933857,0.052822113383560756,0.011193851699354846,0.00036752090213664363,0.0,0.0,0.0
Summer,EmergingPV Potential,0.0,0.0,0.0,0.0009798610242618445,0.02034420162409019,0.06861758225982817,0.15915340631936153,0.24790621320797618,0.3462706745797493,0.4409678459547641,0.475943111017221,0.5614991070232275,0.5870993050004497,0.5149709179043526,0.45237368101362574,0.3879284539395938,0.303186459293103,0.20958345085175195,0.11136504558284069,0.041778843834820285,0.005699377115769422,0.0,0.0,0.0
Winter,EmergingPV Potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017437068658686212,0.02221387791847527,0.07218879341185333,0.12527329202756826,0.15851161134096872,0.16520131239512323,0.1443512613027571,0.10270079186265756,0.04678257771767568,0.01110616389405282,0.0003279266837357758,0.0,0.0,,0.0,0.0,0.0
Autumn,Silicon,0.0,0.0,0.0,0.0,0.0,0.0004494172438982074,0.008845961508682809,0.03515622490626727,0.08442250221307793,0.1353749411668092,0.18321968225904056,0.21437600472686888,0.22079091688406696,0.19599503718942046,0.15354780081951871,0.10111457403280458,0.046559063811565285,0.014743897837929915,0.0014140875096218342,0.0,0.0,0.0,0.0,0.0
Spring,Silicon,0.0,0.0,0.0,3.863271198079606e-05,0.003360742891902228,0.022791789699154477,0.06975624752276353,0.13282223720960246,0.20683480265172527,0.2891926801990534,0.34177731638653236,0.40357776545686797,0.4151336152693537,0.3727618601408201,0.3209521995968177,0.2506323141363049,0.1710973832789422,0.09823440495156534,0.038264908653949464,0.008020389735715611,0.00026254551283804616,0.0,0.0,0.0
